id,timestamp,team_id,level,type,death_reason,data
8956,2026-01-16 21:44:31.318348+00,4,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
8963,2026-01-16 21:44:40.412995+00,4,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
9032,2026-01-16 21:46:18.171061+00,19,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
9549,2026-01-16 22:03:17.48908+00,34,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
10389,2026-01-16 22:39:25.339039+00,22,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
10393,2026-01-16 22:39:33.627353+00,595,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
10408,2026-01-16 22:40:02.48583+00,595,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
10424,2026-01-16 22:40:19.570366+00,19,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
10430,2026-01-16 22:40:35.945518+00,22,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
10432,2026-01-16 22:40:39.970858+00,1006,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_04"",""mini_game_id"":""wheel-of-fish""}"
11048,2026-01-16 22:59:26.731044+00,22,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
11055,2026-01-16 22:59:45.293497+00,596,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
11062,2026-01-16 23:00:01.227599+00,596,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
11078,2026-01-16 23:00:31.674443+00,135,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
11581,2026-01-16 23:17:51.187861+00,100,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
12026,2026-01-16 23:31:59.993161+00,8,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
12403,2026-01-16 23:43:59.788621+00,1123,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_02"",""mini_game_id"":""arithmetic-practice""}"
12617,2026-01-16 23:53:42.759995+00,663,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
12800,2026-01-17 00:00:05.567446+00,500,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
12903,2026-01-17 00:07:04.433404+00,2,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
12910,2026-01-17 00:07:12.032127+00,1469,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_02"",""mini_game_id"":""arithmetic-practice""}"
12932,2026-01-17 00:07:48.948688+00,26,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
12952,2026-01-17 00:08:47.104907+00,31,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
12953,2026-01-17 00:08:47.525783+00,1487,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
13011,2026-01-17 00:11:06.481741+00,629,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
13012,2026-01-17 00:11:11.862739+00,664,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_03"",""mini_game_id"":""word-scramble""}"
13080,2026-01-17 00:13:42.052785+00,937,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
13121,2026-01-17 00:14:50.116474+00,57,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
13138,2026-01-17 00:15:13.425337+00,1487,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
13140,2026-01-17 00:15:14.217821+00,100,CITY,death_car,CAR_RUN_OVER,"{""death_reason"":""CAR_RUN_OVER""}"
13145,2026-01-17 00:15:26.547677+00,935,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
13148,2026-01-17 00:15:33.655843+00,55,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
13160,2026-01-17 00:16:16.568822+00,2,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
13179,2026-01-17 00:17:31.899207+00,18,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
13183,2026-01-17 00:17:41.707221+00,1487,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
13188,2026-01-17 00:17:47.490466+00,135,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
13192,2026-01-17 00:17:56.797599+00,949,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
13196,2026-01-17 00:18:27.494058+00,1487,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_03"",""mini_game_id"":""word-scramble""}"
13205,2026-01-17 00:18:47.519425+00,18,CEMETERY,death_flame_trap,FLAME_TRAP,"{""death_reason"":""FLAME_TRAP""}"
13206,2026-01-17 00:18:50.505511+00,807,CEMETERY,death_spike_trap,SPIKE_TRAP,"{""death_reason"":""SPIKE_TRAP""}"
13207,2026-01-17 00:18:51.275734+00,935,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
13209,2026-01-17 00:18:56.587433+00,935,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6327,2026-01-16 20:30:32.202802+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6328,2026-01-16 20:30:36.381956+00,932,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6329,2026-01-16 20:30:38.047446+00,939,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6330,2026-01-16 20:30:38.624096+00,51,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
6332,2026-01-16 20:30:42.910877+00,894,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_06"",""mini_game_id"":""flag-identification""}"
6334,2026-01-16 20:30:43.798085+00,27,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_06"",""mini_game_id"":""flag-identification""}"
6336,2026-01-16 20:30:47.32574+00,51,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_07"",""mini_game_id"":""emoji-riddles""}"
6337,2026-01-16 20:30:49.970096+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6340,2026-01-16 20:30:55.966474+00,964,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6347,2026-01-16 20:31:07.369922+00,927,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6351,2026-01-16 20:31:14.030503+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6352,2026-01-16 20:31:14.919457+00,937,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6353,2026-01-16 20:31:14.995593+00,51,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_06"",""mini_game_id"":""flag-identification""}"
6356,2026-01-16 20:31:22.082455+00,937,WESTERN,MINE_EXPLOSION_SELF,MINE_EXPLOSION_SELF,"{""death_reason"":""MINE_EXPLOSION_SELF""}"
6358,2026-01-16 20:31:23.917965+00,964,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6359,2026-01-16 20:31:24.117457+00,27,SHORE,fishing_minigame_failure,,"{""story_flag"":""shore_06"",""mini_game_id"":""flag-identification""}"
6360,2026-01-16 20:31:26.608441+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
6363,2026-01-16 20:31:32.437243+00,966,SHORE,death_fish_poisoning,FISH_POISONING,"{""death_reason"":""FISH_POISONING""}"
